Lv0	Lv1	Lv2	Combined	Displayed	Population	Population by Lv0	Date of Data	Notes
中國	廣東省		中國廣東省	中國廣東省	129431517		2022-01-26	
中國	山東省		中國山東省	中國山東省	104281254		2022-01-26	
中國	河南省		中國河南省	中國河南省	102061630		2022-01-26	
中國	江蘇省		中國江蘇省	中國江蘇省	87047069		2022-01-26	
中國	四川省		中國四川省	中國四川省	85944960		2022-01-26	
中國	河北省		中國河北省	中國河北省	76634042		2022-01-26	
中國	湖南省		中國湖南省	中國湖南省	68247540		2022-01-26	
中國	浙江省		中國浙江省	中國浙江省	66319620		2022-01-26	
中國	安徽省		中國安徽省	中國安徽省	62682558		2022-01-26	
中國	湖北省		中國湖北省	中國湖北省	59319740		2022-01-26	
中國	廣西壯族自治區		中國廣西壯族自治區	中國廣西壯族自治區	51486860		2022-01-26	
中國	雲南省		中國雲南省	中國雲南省	48489700		2022-01-26	
中國	江西省		中國江西省	中國江西省	46414901		2022-01-26	
中國	遼寧省		中國遼寧省	中國遼寧省	43746421		2022-01-26	
中國	福建省		中國福建省	中國福建省	42666909		2022-01-26	
中國	陝西省		中國陝西省	中國陝西省	40601354		2022-01-26	
中國	貴州省		中國貴州省	中國貴州省	39608121		2022-01-26	
中國	山西省		中國山西省	中國山西省	35863212		2022-01-26	
中國	重慶市		中國重慶市	中國重慶市	32923570		2022-01-26	
中國	黑龍江省		中國黑龍江省	中國黑龍江省	32714036		2022-01-26	
中國	新疆維吾爾自治區		中國新疆維吾爾自治區	中國新疆維吾爾自治區	26553320		2022-01-26	
中國	甘肅省		中國甘肅省	中國甘肅省	25698749		2022-01-26	
中國	上海市		中國上海市	中國上海市	25545708		2022-01-26	
中國	吉林省		中國吉林省	中國吉林省	24726059		2022-01-26	
中國	內蒙古自治區		中國內蒙古自治區	中國內蒙古自治區	24701409		2022-01-26	
中國	北京市		中國北京市	中國北京市	22486920		2022-01-26	
中國	天津市		中國天津市	中國天津市	14242161		2022-01-26	
中國	海南省		中國海南省	中國海南省	10354480		2022-01-26	
中國	寧夏回族自治區		中國寧夏回族自治區	中國寧夏回族自治區	7398405		2022-01-26	
中國	青海省		中國青海省	中國青海省	6084708		2022-01-26	
中國	西藏自治區		中國西藏自治區	中國西藏自治區	3746963	1448023896	2022-01-26	
印度	北方邦		印度北方邦	印度北方邦	231086056		2022-01-26	
印度	馬哈拉施特拉邦		印度馬哈拉施特拉邦	印度馬哈拉施特拉邦	130111407		2022-01-26	
印度	比哈爾邦		印度比哈爾邦	印度比哈爾邦	120190533		2022-01-26	
印度	西孟加拉邦		印度西孟加拉邦	印度西孟加拉邦	105767271		2022-01-26	
印度	中央邦		印度中央邦	印度中央邦	84057324		2022-01-26	
印度	泰米爾納德邦		印度泰米爾納德邦	印度泰米爾納德邦	83526325		2022-01-26	
印度	拉賈斯坦邦		印度拉賈斯坦邦	印度拉賈斯坦邦	79453060		2022-01-26	
印度	卡納塔克邦		印度卡納塔克邦	印度卡納塔克邦	70780383		2022-01-26	
印度	古吉拉特邦		印度古吉拉特邦	印度古吉拉特邦	69915378		2022-01-26	
印度	安德拉邦		印度安德拉邦	印度安德拉邦	57182664		2022-01-26	
印度	奧里薩邦		印度奧里薩邦	印度奧里薩邦	48568883		2022-01-26	
印度	泰倫加納邦		印度泰倫加納邦	印度泰倫加納邦	40856885		2022-01-26	
印度	喀拉拉邦		印度喀拉拉邦	印度喀拉拉邦	38658029		2022-01-26	
印度	賈坎德邦		印度賈坎德邦	印度賈坎德邦	38170065		2022-01-26	
印度	阿薩姆邦		印度阿薩姆邦	印度阿薩姆邦	36089442		2022-01-26	
印度	旁遮普邦		印度旁遮普邦	印度旁遮普邦	32077439		2022-01-26	
印度	恰蒂斯加爾邦		印度恰蒂斯加爾邦	印度恰蒂斯加爾邦	29571798		2022-01-26	
印度	哈里亞納邦		印度哈里亞納邦	印度哈里亞納邦	29355146		2022-01-26	
印度	德里國家首都轄區		印度德里國家首都轄區	印度德里國家首都轄區	19397787		2022-01-26	
印度	查謨和喀什米爾		印度查謨和喀什米爾	印度查謨和喀什米爾	14211817		2022-01-26	
印度	北阿坎德邦		印度北阿坎德邦	印度北阿坎德邦	11713714		2022-01-26	
印度	喜馬偕爾邦		印度喜馬偕爾邦	印度喜馬偕爾邦	7938831		2022-01-26	
印度	特里普拉邦		印度特里普拉邦	印度特里普拉邦	4250517		2022-01-26	
印度	梅加拉亞邦		印度梅加拉亞邦	印度梅加拉亞邦	3431885		2022-01-26	
印度	曼尼普爾邦		印度曼尼普爾邦	印度曼尼普爾邦	3151394		2022-01-26	
印度	那加蘭邦		印度那加蘭邦	印度那加蘭邦	2293246		2022-01-26	
印度	果阿邦		印度果阿邦	印度果阿邦	1687829		2022-01-26	
印度	阿魯納恰爾邦		印度阿魯納恰爾邦	印度阿魯納恰爾邦	1600861		2022-01-26	
印度	朋迪治里		印度朋迪治里	印度朋迪治里	1440907		2022-01-26	
印度	米佐拉姆邦		印度米佐拉姆邦	印度米佐拉姆邦	1263234		2022-01-26	
印度	昌迪加爾		印度昌迪加爾	印度昌迪加爾	1221171		2022-01-26	
印度	錫金邦		印度錫金邦	印度錫金邦	703614		2022-01-26	
印度	達德拉-納加爾哈維利和達曼-第烏		印度達德拉-納加爾哈維利和達曼-第烏	印度達德拉-納加爾哈維利和達曼-第烏	678229		2022-01-26	
印度	安達曼-尼科巴群島		印度安達曼-尼科巴群島	印度安達曼-尼科巴群島	439919		2022-01-26	
印度	拉達克中央直轄區		印度拉達克中央直轄區	印度拉達克中央直轄區	317997		2022-01-26	
印度	拉克沙群島		印度拉克沙群島	印度拉克沙群島	74600	1401235640	2022-01-26	
美國	加利福尼亞州		美國加利福尼亞州	美國加利福尼亞州	40306123		2022-01-26	
美國	德克薩斯州		美國德克薩斯州	美國德克薩斯州	27205703		2022-01-26	
美國	佛羅里達州		美國佛羅里達州	美國佛羅里達州	20341676		2022-01-26	
美國	紐約州		美國紐約州	美國紐約州	20965724		2022-01-26	
美國	賓夕法尼亞州		美國賓夕法尼亞州	美國賓夕法尼亞州	13743068		2022-01-26	
美國	伊利諾州		美國伊利諾州	美國伊利諾州	13881829		2022-01-26	
美國	俄亥俄州		美國俄亥俄州	美國俄亥俄州	12481674		2022-01-26	
美國	喬治亞州		美國喬治亞州	美國喬治亞州	10481350		2022-01-26	
美國	北卡羅來納州		美國北卡羅來納州	美國北卡羅來納州	10316712		2022-01-26	
美國	密西根州		美國密西根州	美國密西根州	10693394		2022-01-26	
美國	紐澤西州		美國紐澤西州	美國紐澤西州	9512202		2022-01-26	
美國	維吉尼亞州		美國維吉尼亞州	美國維吉尼亞州	8656537		2022-01-26	
美國	華盛頓州		美國華盛頓州	美國華盛頓州	7275473		2022-01-26	
美國	亞利桑那州		美國亞利桑那州	美國亞利桑那州	6915706		2022-01-26	
美國	麻薩諸塞州		美國麻薩諸塞州	美國麻薩諸塞州	7084068		2022-01-26	
美國	田納西州		美國田納西州	美國田納西州	6866033		2022-01-26	
美國	印第安納州		美國印第安納州	美國印第安納州	7015011		2022-01-26	
美國	馬里蘭州		美國馬里蘭州	美國馬里蘭州	6246571		2022-01-26	
美國	密蘇里州		美國密蘇里州	美國密蘇里州	6479592		2022-01-26	
美國	威斯康辛州		美國威斯康辛州	美國威斯康辛州	6152913		2022-01-26	
美國	科羅拉多州		美國科羅拉多州	美國科羅拉多州	5441231		2022-01-26	
美國	明尼蘇達州		美國明尼蘇達州	美國明尼蘇達州	5738469		2022-01-26	
美國	南卡羅來納州		美國南卡羅來納州	美國南卡羅來納州	5004314		2022-01-26	
美國	阿拉巴馬州		美國阿拉巴馬州	美國阿拉巴馬州	5171333		2022-01-26	
美國	路易斯安那州		美國路易斯安那州	美國路易斯安那州	4904785		2022-01-26	
美國	肯塔基州		美國肯塔基州	美國肯塔基州	4694886		2022-01-26	
美國	奧勒岡州		美國奧勒岡州	美國奧勒岡州	4144949		2022-01-26	
美國	奧克拉荷馬州		美國奧克拉荷馬州	美國奧克拉荷馬州	4058694		2022-01-26	
美國	康乃狄克州		美國康乃狄克州	美國康乃狄克州	3866918		2022-01-26	
美國	猶他州		美國猶他州	美國猶他州	2990326		2022-01-26	
美國	愛荷華州		美國愛荷華州	美國愛荷華州	3295939		2022-01-26	
美國	內華達州		美國內華達州	美國內華達州	2921804		2022-01-26	
美國	阿肯色州		美國阿肯色州	美國阿肯色州	3154815		2022-01-26	
美國	密西西比州		美國密西西比州	美國密西西比州	3210404		2022-01-26	
美國	堪薩斯州		美國堪薩斯州	美國堪薩斯州	3086870		2022-01-26	
美國	新墨西哥州		美國新墨西哥州	美國新墨西哥州	2227885		2022-01-26	
美國	內布拉斯加州		美國內布拉斯加州	美國內布拉斯加州	1975971		2022-01-26	
美國	愛達荷州		美國愛達荷州	美國愛達荷州	1696012		2022-01-26	
美國	西維吉尼亞州		美國西維吉尼亞州	美國西維吉尼亞州	2004807		2022-01-26	
美國	夏威夷州		美國夏威夷州	美國夏威夷州	1471749		2022-01-26	
美國	新罕布夏州		美國新罕布夏州	美國新罕布夏州	1424327		2022-01-26	
美國	緬因州		美國緬因州	美國緬因州	1437192		2022-01-26	
美國	羅德島州		美國羅德島州	美國羅德島州	1138802		2022-01-26	
美國	蒙大拿州		美國蒙大拿州	美國蒙大拿州	1070476		2022-01-26	
美國	德拉瓦州		美國德拉瓦州	美國德拉瓦州	971501		2022-01-26	
美國	南達科他州		美國南達科他州	美國南達科他州	880885		2022-01-26	
美國	北達科他州		美國北達科他州	美國北達科他州	727695		2022-01-26	
美國	阿拉斯加州		美國阿拉斯加州	美國阿拉斯加州	768419		2022-01-26	
美國	華盛頓哥倫比亞特區		美國華盛頓哥倫比亞特區	美國華盛頓哥倫比亞特區	651021		2022-01-26	
美國	佛蒙特州		美國佛蒙特州	美國佛蒙特州	677007		2022-01-26	
美國	懷俄明州		美國懷俄明州	美國懷俄明州	609805	334040650	2022-01-26	
印尼	西爪哇省		印尼西爪哇省	印尼西爪哇省	49675834		2022-01-26	
印尼	東爪哇省		印尼東爪哇省	印尼東爪哇省	41846451		2022-01-26	
印尼	中爪哇省		印尼中爪哇省	印尼中爪哇省	37576301		2022-01-26	
印尼	北蘇門答臘省		印尼北蘇門答臘省	印尼北蘇門答臘省	15229070		2022-01-26	
印尼	萬丹省		印尼萬丹省	印尼萬丹省	12250218		2022-01-26	
印尼	雅加達首都特區		印尼雅加達首都特區	印尼雅加達首都特區	10868765		2022-01-26	
印尼	南蘇拉威西省		印尼南蘇拉威西省	印尼南蘇拉威西省	9336965		2022-01-26	
印尼	楠榜省		印尼楠榜省	印尼楠榜省	9269397		2022-01-26	
印尼	南蘇門答臘省		印尼南蘇門答臘省	印尼南蘇門答臘省	8713289		2022-01-26	
印尼	廖內省		印尼廖內省	印尼廖內省	6579744		2022-01-26	
印尼	西蘇門答臘省		印尼西蘇門答臘省	印尼西蘇門答臘省	5695169		2022-01-26	
印尼	西加里曼丹省		印尼西加里曼丹省	印尼西加里曼丹省	5571600		2022-01-26	
印尼	東努沙登加拉省		印尼東努沙登加拉省	印尼東努沙登加拉省	5480197		2022-01-26	
印尼	西努沙登加拉省		印尼西努沙登加拉省	印尼西努沙登加拉省	5474564		2022-01-26	
印尼	亞齊特區		印尼亞齊特區	印尼亞齊特區	5428030		2022-01-26	
印尼	峇里省		印尼峇里省	印尼峇里省	4442763		2022-01-26	
印尼	巴布亞省		印尼巴布亞省	印尼巴布亞省	4428668		2022-01-26	
印尼	南加里曼丹省		印尼南加里曼丹省	印尼南加里曼丹省	4191863		2022-01-26	
印尼	東加里曼丹省		印尼東加里曼丹省	印尼東加里曼丹省	3875388		2022-01-26	
印尼	日惹特區		印尼日惹特區	印尼日惹特區	3775242		2022-01-26	
印尼	占碑省		印尼占碑省	印尼占碑省	3651253		2022-01-26	
印尼	中蘇拉威西省		印尼中蘇拉威西省	印尼中蘇拉威西省	3072427		2022-01-26	
印尼	中加里曼丹省		印尼中加里曼丹省	印尼中加里曼丹省	2747494		2022-01-26	
印尼	東南蘇拉威西省		印尼東南蘇拉威西省	印尼東南蘇拉威西省	2701089		2022-01-26	
印尼	北蘇拉威西省		印尼北蘇拉威西省	印尼北蘇拉威西省	2698052		2022-01-26	
印尼	廖內群島省		印尼廖內群島省	印尼廖內群島省	2124510		2022-01-26	
印尼	明古魯省		印尼明古魯省	印尼明古魯省	2069051		2022-01-26	
印尼	馬魯古省		印尼馬魯古省	印尼馬魯古省	1902608		2022-01-26	
印尼	邦加-勿里洞省		印尼邦加-勿里洞省	印尼邦加-勿里洞省	1497944		2022-01-26	
印尼	西蘇拉威西省		印尼西蘇拉威西省	印尼西蘇拉威西省	1460438		2022-01-26	
印尼	北馬魯古省		印尼北馬魯古省	印尼北馬魯古省	1320188		2022-01-26	
印尼	哥倫打洛省		印尼哥倫打洛省	印尼哥倫打洛省	1205702		2022-01-26	
印尼	西巴布亞省		印尼西巴布亞省	印尼西巴布亞省	1166996		2022-01-26	
印尼	北加里曼丹省		印尼北加里曼丹省	印尼北加里曼丹省	722191	278049461	2022-01-26	
巴基斯坦	旁遮普省		巴基斯坦旁遮普省	巴基斯坦旁遮普省	117514842		2022-01-26	
巴基斯坦	信德省		巴基斯坦信德省	巴基斯坦信德省	51151684		2022-01-26	
巴基斯坦	開伯爾-普什圖省		巴基斯坦開伯爾-普什圖省	巴基斯坦開伯爾-普什圖省	37947711		2022-01-26	
巴基斯坦	俾路支省		巴基斯坦俾路支省	巴基斯坦俾路支省	13186246		2022-01-26	
巴基斯坦	自由查謨和喀什米爾		巴基斯坦自由查謨和喀什米爾	巴基斯坦自由查謨和喀什米爾	4321244		2022-01-26	
巴基斯坦	伊斯蘭瑪巴德首都區		巴基斯坦伊斯蘭瑪巴德首都區	巴基斯坦伊斯蘭瑪巴德首都區	2143412		2022-01-26	
巴基斯坦	吉爾吉特-巴爾蒂斯坦省		巴基斯坦吉爾吉特-巴爾蒂斯坦省	巴基斯坦吉爾吉特-巴爾蒂斯坦省	1334177	227599316	2022-01-26	
巴西	聖保羅州		巴西聖保羅州	巴西聖保羅州	46981963		2022-01-26	
巴西	米納斯吉拉斯州		巴西米納斯吉拉斯州	巴西米納斯吉拉斯州	21611270		2022-01-26	
